student_id,gender,age,degree,branch,cgpa,backlogs,internships,certifications,coding_skills,communication_skills,project_count,internship_status,certification_status,placement_status,package_lpa,company_name,has_internship,has_certification,placement_year,total_skill_score,academic_performance_index,employability_score,placement_risk_score,risk_band,eligible_for_shortlist,student_intervention,intervention_priority
13,Male,24,BSc,Mechanical Engineering,7.57,3,0,1,2,7,1,No,Yes,Placed,7.06,TCS,0,1,2021,9,60.7,6.628,55.6,Medium,0,Strengthen projects and communication,Monitor
14,Male,21,BCA,Mechanical Engineering,9.38,3,1,0,5,4,5,Yes,No,Placed,11.22,Infosys,1,0,2022,9,78.80000000000001,9.352,19.7,Low,0,Maintain momentum and continue interview prep,Track
15,Female,24,BTech,Computer Science,7.69,1,1,3,2,4,3,Yes,Yes,Placed,8.62,Accenture,1,1,2023,6,71.9,7.476000000000001,19.9,Low,0,Maintain momentum and continue interview prep,Track
16,Male,20,BSc,Computer Science,8.34,0,2,1,6,6,5,Yes,Yes,Placed,13.12,Amazon,1,1,2019,12,83.4,12.136000000000001,0.0,Low,1,Maintain momentum and continue interview prep,Track
17,Female,22,BSc,Computer Science,9.79,1,3,3,9,5,5,Yes,Yes,Placed,15.53,Microsoft,1,1,2020,14,92.89999999999999,15.516,0.0,Low,0,Maintain momentum and continue interview prep,Track
18,Female,23,BCA,Electrical Engineering,6.13,2,2,2,9,7,4,Yes,Yes,Placed,11.67,Accenture,1,1,2021,16,51.3,12.852,0.0,Low,0,Maintain momentum and continue interview prep,Track
19,Female,24,BCA,Data Science,8.67,1,3,0,6,5,3,Yes,No,Placed,12.56,Google,1,0,2022,11,81.7,13.868,0.0,Low,0,Maintain momentum and continue interview prep,Track
20,Male,23,BTech,Data Science,6.1,0,0,2,4,4,1,No,Yes,Not Placed,0.0,Unplaced,0,1,2023,8,61.0,5.640000000000001,27.4,Low,0,Maintain momentum and continue interview prep,Track
21,Female,24,BCA,Data Science,9.11,1,1,2,10,9,2,Yes,Yes,Placed,14.35,Google,1,1,2019,19,86.1,13.244,0.0,Low,0,Maintain momentum and continue interview prep,Track
22,Male,20,BSc,Mechanical Engineering,8.06,3,2,1,9,6,5,Yes,Yes,Placed,12.19,Adobe,1,1,2020,15,65.60000000000001,13.224,0.0,Low,0,Maintain momentum and continue interview prep,Track
23,Female,21,BE,Information Technology,9.53,0,2,4,5,7,3,Yes,Yes,Placed,12.24,Amazon,1,1,2021,12,95.3,12.612,0.0,Low,1,Maintain momentum and continue interview prep,Track
24,Female,23,BTech,Mechanical Engineering,9.22,2,1,4,8,4,3,Yes,Yes,Placed,13.57,Meta,1,1,2022,12,82.2,10.488000000000001,0.0,Low,0,Maintain momentum and continue interview prep,Track
25,Female,23,BTech,Data Science,5.82,1,3,3,9,6,5,Yes,Yes,Placed,12.66,Amazon,1,1,2023,15,53.2,14.328,0.0,Low,0,Maintain momentum and continue interview prep,Track
26,Female,21,BSc,Artificial Intelligence,6.09,1,0,1,5,7,2,No,Yes,Placed,5.49,Wipro,0,1,2019,12,55.9,7.236000000000001,24.5,Low,0,Maintain momentum and continue interview prep,Track
27,Female,23,BE,Information Technology,8.09,3,3,2,6,5,3,Yes,Yes,Placed,12.01,Microsoft,1,1,2020,11,65.9,13.636000000000001,8.5,Low,0,Maintain momentum and continue interview prep,Track
28,Female,23,BCA,Computer Science,7.73,0,1,5,4,7,3,Yes,Yes,Placed,10.01,Capgemini,1,1,2021,11,77.30000000000001,9.492,0.0,Low,1,Maintain momentum and continue interview prep,Track
29,Female,24,BCA,Electrical Engineering,6.22,3,0,3,1,6,0,No,Yes,Not Placed,0.0,Unplaced,0,1,2022,7,47.199999999999996,5.288,70.7,High,0,Improve aptitude; complete one internship; increase DSA score,Immediate
30,Female,24,BE,Mechanical Engineering,6.06,1,3,2,1,6,1,Yes,Yes,Placed,6.21,Tech Mahindra,1,1,2023,7,55.599999999999994,11.224,21.6,Low,0,Maintain momentum and continue interview prep,Track
31,Male,21,BE,Electrical Engineering,7.93,1,0,3,5,6,5,No,Yes,Placed,10.66,Capgemini,0,1,2019,11,74.3,7.572000000000001,0.4,Low,0,Maintain momentum and continue interview prep,Track
32,Male,20,BSc,Information Technology,5.71,0,1,5,3,9,2,Yes,Yes,Placed,6.99,Tech Mahindra,1,1,2020,12,57.1,9.084000000000001,0.7,Low,0,Maintain momentum and continue interview prep,Track
33,Female,23,BCA,Artificial Intelligence,9.26,1,0,0,7,6,2,No,No,Placed,10.06,Cognizant,0,0,2021,13,87.6,8.904,2.4,Low,0,Maintain momentum and continue interview prep,Track
34,Female,20,BSc,Information Technology,8.97,0,2,3,4,5,0,Yes,Yes,Placed,11.05,Capgemini,1,1,2022,9,89.7,11.188,0.0,Low,1,Maintain momentum and continue interview prep,Track
35,Female,21,BCA,Mechanical Engineering,8.88,2,1,3,4,8,1,Yes,Yes,Placed,11.11,Infosys,1,1,2023,12,78.80000000000001,10.352,12.7,Low,0,Maintain momentum and continue interview prep,Track
36,Male,21,BCA,Data Science,5.57,1,2,2,4,5,2,Yes,Yes,Placed,7.37,Wipro,1,1,2019,9,50.7,9.828,19.6,Low,0,Maintain momentum and continue interview prep,Track
37,Female,24,BE,Computer Science,5.7,0,0,4,6,7,2,No,Yes,Placed,8.2,Cognizant,0,1,2020,13,57.0,7.48,4.8,Low,0,Maintain momentum and continue interview prep,Track
38,Male,23,BSc,Data Science,7.86,0,3,2,9,4,3,Yes,Yes,Placed,13.8,Google,1,1,2021,13,78.60000000000001,14.344000000000001,0.0,Low,1,Maintain momentum and continue interview prep,Track
39,Male,22,BE,Data Science,9.78,3,0,1,9,5,5,No,Yes,Placed,13.24,Meta,0,1,2022,14,82.8,9.512,4.3,Low,0,Maintain momentum and continue interview prep,Track
40,Male,21,BSc,Mechanical Engineering,6.97,1,1,2,5,7,4,Yes,Yes,Placed,9.34,Infosys,1,1,2023,12,64.7,9.588000000000001,1.2,Low,0,Maintain momentum and continue interview prep,Track
41,Male,23,BCA,Data Science,6.98,3,1,5,8,8,4,Yes,Yes,Placed,12.56,Microsoft,1,1,2019,16,54.80000000000001,11.192,4.1,Low,0,Maintain momentum and continue interview prep,Track
42,Male,20,BTech,Data Science,6.08,0,0,4,4,7,3,No,Yes,Placed,7.93,Accenture,0,1,2020,11,60.8,6.832000000000001,6.5,Low,0,Maintain momentum and continue interview prep,Track
43,Female,24,BTech,Mechanical Engineering,8.4,2,3,1,8,6,5,Yes,Yes,Placed,14.03,Meta,1,1,2021,14,74.0,14.96,0.0,Low,0,Maintain momentum and continue interview prep,Track
44,Female,20,BSc,Mechanical Engineering,8.28,2,1,5,10,6,5,Yes,Yes,Placed,14.05,Amazon,1,1,2022,16,72.8,11.712,0.0,Low,0,Maintain momentum and continue interview prep,Track
45,Female,21,BSc,Artificial Intelligence,5.94,1,0,4,9,4,5,No,Yes,Placed,10.58,Accenture,0,1,2023,13,54.400000000000006,7.5760000000000005,0.4,Low,0,Maintain momentum and continue interview prep,Track
46,Female,21,BE,Data Science,7.51,2,3,1,8,5,4,Yes,Yes,Placed,12.9,Amazon,1,1,2019,13,65.1,14.204,0.0,Low,0,Maintain momentum and continue interview prep,Track
47,Female,20,BCA,Information Technology,8.37,1,2,2,8,6,5,Yes,Yes,Placed,13.47,Microsoft,1,1,2020,14,78.69999999999999,12.948,0.0,Low,0,Maintain momentum and continue interview prep,Track
48,Male,21,BTech,Computer Science,7.62,1,1,4,9,8,5,Yes,Yes,Placed,13.46,Adobe,1,1,2021,17,71.2,11.848,0.0,Low,0,Maintain momentum and continue interview prep,Track
49,Female,23,BE,Electrical Engineering,8.4,0,2,5,10,7,3,Yes,Yes,Placed,15.12,Meta,1,1,2022,17,84.0,14.16,0.0,Low,1,Maintain momentum and continue interview prep,Track
50,Female,21,BSc,Computer Science,9.01,0,1,5,8,4,5,Yes,Yes,Placed,14.6,Meta,1,1,2023,12,90.1,10.404,0.0,Low,1,Maintain momentum and continue interview prep,Track
51,Male,24,BCA,Mechanical Engineering,8.45,0,2,4,4,7,2,Yes,Yes,Placed,10.71,Accenture,1,1,2019,11,84.5,11.780000000000001,0.0,Low,1,Maintain momentum and continue interview prep,Track
52,Female,23,BE,Electrical Engineering,8.15,3,0,5,5,6,2,No,Yes,Placed,10.73,Cognizant,0,1,2020,11,66.5,7.66,31.1,Low,0,Maintain momentum and continue interview prep,Track
53,Male,22,BE,Mechanical Engineering,9.17,0,3,5,10,5,5,Yes,Yes,Placed,16.93,Google,1,1,2021,15,91.7,15.668,0.0,Low,1,Maintain momentum and continue interview prep,Track
54,Female,21,BSc,Artificial Intelligence,9.37,1,0,0,6,7,4,No,No,Placed,12.02,Amazon,0,0,2022,13,88.69999999999999,8.948,0.0,Low,0,Maintain momentum and continue interview prep,Track
55,Male,21,BCA,Data Science,7.17,0,0,0,5,8,5,No,No,Placed,8.88,Capgemini,0,0,2023,13,71.7,8.068000000000001,0.0,Low,1,Maintain momentum and continue interview prep,Track
56,Female,24,BTech,Mechanical Engineering,6.24,3,0,3,9,8,4,No,Yes,Placed,10.6,Cognizant,0,1,2019,17,47.400000000000006,9.296000000000001,16.6,Low,0,Maintain momentum and continue interview prep,Track
57,Female,24,BE,Mechanical Engineering,9.02,0,1,0,2,5,1,Yes,No,Placed,8.11,Cognizant,1,0,2020,7,90.19999999999999,8.408000000000001,10.9,Low,1,Maintain momentum and continue interview prep,Track
58,Male,20,BSc,Computer Science,6.42,2,2,4,6,6,4,Yes,Yes,Placed,11.24,Capgemini,1,1,2021,12,54.2,11.368,3.5,Low,0,Maintain momentum and continue interview prep,Track
59,Male,20,BE,Data Science,9.49,1,1,3,10,7,5,Yes,Yes,Placed,15.38,Microsoft,1,1,2022,17,89.9,12.596,0.0,Low,0,Maintain momentum and continue interview prep,Track
60,Male,20,BSc,Artificial Intelligence,5.6,2,1,2,2,8,0,Yes,Yes,Not Placed,0.0,Unplaced,1,1,2023,10,46.0,8.24,46.4,Medium,0,Strengthen projects and communication,Monitor
61,Male,24,BSc,Mechanical Engineering,9.46,2,3,3,8,6,4,Yes,Yes,Placed,15.21,Adobe,1,1,2019,14,84.60000000000001,15.384,0.0,Low,0,Maintain momentum and continue interview prep,Track
62,Male,20,BSc,Mechanical Engineering,8.03,3,0,5,8,6,3,No,Yes,Placed,12.41,Meta,0,1,2020,14,65.3,8.812000000000001,15.8,Low,0,Maintain momentum and continue interview prep,Track
63,Male,20,BCA,Mechanical Engineering,8.83,2,1,1,5,5,0,Yes,Yes,Placed,9.54,Infosys,1,1,2021,10,78.3,9.532,26.0,Low,0,Maintain momentum and continue interview prep,Track
64,Male,22,BTech,Computer Science,7.21,0,2,3,10,5,5,Yes,Yes,Placed,15.36,Google,1,1,2022,15,72.1,12.884,0.0,Low,1,Maintain momentum and continue interview prep,Track
65,Male,20,BCA,Mechanical Engineering,9.76,1,1,0,8,8,5,Yes,No,Placed,15.25,Microsoft,1,0,2023,16,92.6,12.304,0.0,Low,0,Maintain momentum and continue interview prep,Track
66,Female,21,BTech,Mechanical Engineering,6.48,2,3,2,5,9,0,Yes,Yes,Placed,8.46,Cognizant,1,1,2019,14,54.80000000000001,14.192,10.1,Low,0,Maintain momentum and continue interview prep,Track
67,Female,24,BSc,Computer Science,6.64,2,3,1,4,6,2,Yes,Yes,Placed,8.96,Capgemini,1,1,2020,10,56.39999999999999,12.656,16.2,Low,0,Maintain momentum and continue interview prep,Track
68,Male,23,BTech,Mechanical Engineering,5.72,1,2,3,9,8,0,Yes,Yes,Placed,8.83,Capgemini,1,1,2021,17,52.199999999999996,13.088000000000001,0.0,Low,0,Maintain momentum and continue interview prep,Track
69,Female,22,BCA,Data Science,9.54,0,3,2,8,7,5,Yes,Yes,Placed,16.45,Google,1,1,2022,15,95.39999999999999,15.815999999999999,0.0,Low,1,Maintain momentum and continue interview prep,Track
70,Female,24,BE,Data Science,7.46,2,0,0,4,6,3,No,No,Placed,7.85,Cognizant,0,0,2023,10,64.6,6.984,33.2,Low,0,Maintain momentum and continue interview prep,Track
71,Female,24,BCA,Computer Science,8.4,1,0,2,2,7,2,No,Yes,Placed,8.31,Infosys,0,1,2019,9,79.0,6.960000000000001,20.6,Low,0,Maintain momentum and continue interview prep,Track
72,Female,21,BCA,Data Science,8.46,0,3,2,2,9,0,Yes,Yes,Placed,8.59,Accenture,1,1,2020,11,84.60000000000001,13.784,0.0,Low,1,Maintain momentum and continue interview prep,Track
73,Male,20,BCA,Electrical Engineering,9.26,0,1,1,2,6,1,Yes,Yes,Placed,8.91,Accenture,1,1,2021,8,92.6,8.904,4.4,Low,1,Maintain momentum and continue interview prep,Track
74,Female,21,BCA,Electrical Engineering,8.36,0,3,4,10,9,5,Yes,Yes,Placed,14.86,Microsoft,1,1,2022,19,83.6,16.944000000000003,0.0,Low,1,Maintain momentum and continue interview prep,Track
75,Male,20,BCA,Electrical Engineering,7.92,3,2,0,8,3,5,Yes,No,Placed,13.44,Google,1,0,2023,11,64.2,11.568000000000001,11.5,Low,0,Maintain momentum and continue interview prep,Track
76,Female,20,BTech,Artificial Intelligence,8.55,0,0,1,6,8,3,No,Yes,Placed,11.4,Infosys,0,1,2019,14,85.5,9.020000000000001,0.0,Low,1,Maintain momentum and continue interview prep,Track
77,Female,24,BTech,Mechanical Engineering,8.73,0,0,1,1,7,0,No,Yes,Placed,7.13,Wipro,0,1,2020,8,87.30000000000001,6.692,20.6,Low,1,Maintain momentum and continue interview prep,Track
78,Female,20,BE,Artificial Intelligence,6.3,1,1,1,10,6,5,Yes,Yes,Placed,11.2,Cognizant,1,1,2021,16,58.0,10.92,0.0,Low,0,Maintain momentum and continue interview prep,Track
79,Male,22,BCA,Data Science,5.97,3,2,4,4,7,1,Yes,Yes,Placed,8.71,Accenture,1,1,2022,11,44.699999999999996,10.788,35.2,Medium,0,Strengthen projects and communication,Monitor
80,Female,22,BCA,Computer Science,5.82,0,0,4,3,4,1,No,Yes,Placed,6.51,Wipro,0,1,2023,7,58.2,5.128,29.1,Low,0,Maintain momentum and continue interview prep,Track
81,Male,22,BE,Electrical Engineering,7.11,2,0,3,10,6,5,No,Yes,Placed,13.23,Meta,0,1,2019,16,61.10000000000001,9.244,0.0,Low,0,Maintain momentum and continue interview prep,Track
82,Female,24,BE,Computer Science,7.64,3,2,3,7,7,3,Yes,Yes,Placed,12.43,Meta,1,1,2020,14,61.39999999999999,12.656,7.2,Low,0,Maintain momentum and continue interview prep,Track
83,Male,21,BSc,Artificial Intelligence,8.15,1,1,0,10,9,5,Yes,No,Placed,12.49,Google,1,0,2021,19,76.5,12.860000000000001,0.0,Low,0,Maintain momentum and continue interview prep,Track
84,Female,23,BE,Data Science,9.62,3,3,5,5,6,1,Yes,Yes,Placed,13.81,Google,1,1,2022,11,81.19999999999999,14.248000000000001,2.3,Low,0,Maintain momentum and continue interview prep,Track
85,Male,20,BE,Mechanical Engineering,6.92,2,1,0,1,5,0,Yes,No,Not Placed,0.0,Unplaced,1,0,2023,6,59.2,7.168000000000001,55.5,Medium,0,Strengthen projects and communication,Monitor
86,Male,23,BE,Data Science,8.77,3,0,4,6,6,1,No,Yes,Placed,10.34,Capgemini,0,1,2019,12,72.69999999999999,8.308,29.4,Low,0,Maintain momentum and continue interview prep,Track
87,Female,21,BSc,Electrical Engineering,7.78,2,0,4,4,8,4,No,Yes,Placed,10.89,Accenture,0,1,2020,12,67.8,7.912000000000001,13.3,Low,0,Maintain momentum and continue interview prep,Track
88,Male,21,BTech,Data Science,6.45,0,1,4,10,7,4,Yes,Yes,Placed,11.37,Infosys,1,1,2021,17,64.5,11.38,0.0,Low,0,Maintain momentum and continue interview prep,Track
89,Female,24,BSc,Computer Science,8.15,0,1,1,6,6,4,Yes,Yes,Placed,11.45,Infosys,1,1,2022,12,81.5,10.06,0.0,Low,1,Maintain momentum and continue interview prep,Track
90,Female,22,BTech,Information Technology,9.66,3,0,4,7,7,5,No,Yes,Placed,13.47,Google,0,1,2023,14,81.6,9.464,1.0,Low,0,Maintain momentum and continue interview prep,Track
91,Female,22,BE,Electrical Engineering,6.03,3,2,1,9,7,5,Yes,Yes,Placed,11.83,Accenture,1,1,2019,16,45.300000000000004,12.812000000000001,4.8,Low,0,Maintain momentum and continue interview prep,Track
92,Female,21,BSc,Mechanical Engineering,7.68,1,2,1,1,8,2,Yes,Yes,Placed,7.75,Infosys,1,1,2020,9,71.8,10.672,11.9,Low,0,Maintain momentum and continue interview prep,Track
93,Female,24,BSc,Electrical Engineering,5.72,1,3,0,6,5,5,Yes,No,Placed,10.85,Accenture,1,0,2021,11,52.199999999999996,12.688,0.0,Low,0,Maintain momentum and continue interview prep,Track
94,Female,24,BTech,Electrical Engineering,6.88,2,0,2,8,6,5,No,Yes,Placed,10.43,Infosys,0,1,2022,14,58.8,8.352,8.7,Low,0,Maintain momentum and continue interview prep,Track
95,Female,20,BSc,Mechanical Engineering,8.17,0,0,3,4,6,3,No,Yes,Placed,8.71,Accenture,0,1,2023,10,81.7,7.268000000000001,0.0,Low,1,Maintain momentum and continue interview prep,Track
96,Female,22,BSc,Electrical Engineering,9.12,3,3,3,10,4,5,Yes,Yes,Placed,15.86,Meta,1,1,2019,14,76.19999999999999,15.248000000000001,0.0,Low,0,Maintain momentum and continue interview prep,Track
97,Female,21,BCA,Computer Science,8.64,0,0,0,9,7,5,No,No,Placed,11.98,Infosys,0,0,2020,16,86.4,9.856000000000002,0.0,Low,1,Maintain momentum and continue interview prep,Track
98,Female,23,BTech,Data Science,7.49,3,0,0,4,7,1,No,No,Not Placed,0.0,Unplaced,0,0,2021,11,59.900000000000006,7.396000000000001,50.1,Medium,0,Strengthen projects and communication,Monitor
99,Female,22,BSc,Computer Science,9.41,2,1,4,4,7,2,Yes,Yes,Placed,11.08,Accenture,1,1,2022,11,84.1,10.164000000000001,6.5,Low,0,Maintain momentum and continue interview prep,Track
100,Male,20,BSc,Data Science,6.8,0,2,4,9,6,5,Yes,Yes,Placed,13.8,Adobe,1,1,2023,15,68.0,12.72,0.0,Low,1,Maintain momentum and continue interview prep,Track
101,Male,24,BE,Information Technology,8.74,1,2,4,4,4,1,Yes,Yes,Placed,10.31,Accenture,1,1,2019,8,82.4,10.696000000000002,3.6,Low,0,Maintain momentum and continue interview prep,Track
102,Female,21,BCA,Electrical Engineering,7.54,2,2,1,9,6,5,Yes,Yes,Placed,13.61,Amazon,1,1,2020,15,65.4,13.016,0.0,Low,0,Maintain momentum and continue interview prep,Track
103,Female,22,BCA,Information Technology,9.36,0,3,1,1,6,1,Yes,Yes,Placed,10.22,Cognizant,1,1,2021,7,93.6,12.544,0.0,Low,1,Maintain momentum and continue interview prep,Track
104,Female,23,BE,Artificial Intelligence,8.93,2,1,4,8,5,5,Yes,Yes,Placed,14.74,Amazon,1,1,2022,13,79.3,10.772,0.0,Low,0,Maintain momentum and continue interview prep,Track
105,Female,20,BE,Data Science,9.38,3,0,1,2,6,2,No,Yes,Placed,8.52,Cognizant,0,1,2023,8,78.80000000000001,6.952000000000001,43.7,Medium,0,Strengthen projects and communication,Monitor
106,Female,20,BE,Computer Science,6.42,0,2,0,8,7,1,Yes,No,Placed,10.31,Capgemini,1,0,2019,15,64.2,12.568,0.0,Low,0,Maintain momentum and continue interview prep,Track
107,Female,22,BE,Computer Science,8.37,0,2,4,5,9,0,Yes,Yes,Placed,10.3,Infosys,1,1,2020,14,83.69999999999999,12.948,0.0,Low,1,Maintain momentum and continue interview prep,Track
108,Female,23,BCA,Electrical Engineering,8.68,0,1,3,1,7,1,Yes,Yes,Placed,9.0,Cognizant,1,1,2021,8,86.8,8.672,4.9,Low,1,Maintain momentum and continue interview prep,Track
109,Female,20,BSc,Computer Science,8.69,1,0,3,1,7,2,No,Yes,Placed,9.28,Accenture,0,1,2022,8,81.89999999999999,6.676,20.9,Low,0,Maintain momentum and continue interview prep,Track
110,Male,21,BSc,Artificial Intelligence,7.67,2,3,5,6,6,2,Yes,Yes,Placed,13.03,Microsoft,1,1,2023,12,66.7,13.868,0.0,Low,0,Maintain momentum and continue interview prep,Track
111,Female,20,BE,Mechanical Engineering,5.55,1,0,1,1,4,1,No,Yes,Not Placed,0.0,Unplaced,0,1,2019,5,50.5,4.220000000000001,56.7,Medium,0,Strengthen projects and communication,Monitor
112,Male,23,BTech,Computer Science,6.62,1,3,3,2,6,0,Yes,Yes,Placed,7.89,Cognizant,1,1,2020,8,61.2,11.848,16.3,Low,0,Maintain momentum and continue interview prep,Track
113,Female,24,BE,Electrical Engineering,6.89,2,3,4,3,7,1,Yes,Yes,Placed,8.79,Cognizant,1,1,2021,10,58.89999999999999,12.756,13.7,Low,0,Maintain momentum and continue interview prep,Track
114,Female,24,BSc,Information Technology,9.16,2,0,3,2,10,3,No,Yes,Placed,9.07,Cognizant,0,1,2022,12,81.6,8.464,13.0,Low,0,Maintain momentum and continue interview prep,Track
115,Male,22,BTech,Computer Science,9.12,0,3,0,9,6,3,Yes,No,Placed,13.36,Amazon,1,0,2023,15,91.19999999999999,15.648,0.0,Low,1,Maintain momentum and continue interview prep,Track
116,Female,23,BE,Computer Science,5.95,0,2,1,10,7,3,Yes,Yes,Placed,10.74,Cognizant,1,1,2019,17,59.5,13.180000000000001,0.0,Low,0,Maintain momentum and continue interview prep,Track
117,Male,20,BTech,Computer Science,9.58,2,1,3,6,6,2,Yes,Yes,Placed,12.0,Meta,1,1,2020,12,85.8,10.632000000000001,2.5,Low,0,Maintain momentum and continue interview prep,Track
118,Female,20,BE,Electrical Engineering,6.28,0,2,1,9,5,3,Yes,Yes,Placed,11.39,Cognizant,1,1,2021,14,62.800000000000004,12.112000000000002,0.0,Low,0,Maintain momentum and continue interview prep,Track
119,Female,24,BCA,Mechanical Engineering,7.28,3,3,0,5,8,1,Yes,No,Placed,9.97,Infosys,1,0,2022,13,57.8,14.112,20.3,Low,0,Maintain momentum and continue interview prep,Track
120,Male,24,BSc,Computer Science,6.43,0,3,3,4,8,3,Yes,Yes,Placed,10.76,Cognizant,1,1,2023,12,64.3,13.372,0.0,Low,0,Maintain momentum and continue interview prep,Track
121,Female,21,BE,Mechanical Engineering,9.2,2,1,5,2,8,0,Yes,Yes,Placed,10.02,Cognizant,1,1,2019,10,82.0,9.68,18.8,Low,0,Maintain momentum and continue interview prep,Track
122,Male,24,BTech,Mechanical Engineering,8.72,1,1,4,4,5,1,Yes,Yes,Not Placed,0.0,Unplaced,1,1,2020,9,82.2,9.088000000000001,8.7,Low,0,Maintain momentum and continue interview prep,Track
123,Female,21,BSc,Artificial Intelligence,7.02,2,2,2,8,9,3,Yes,Yes,Placed,11.44,Capgemini,1,1,2021,17,60.19999999999999,13.608,0.0,Low,0,Maintain momentum and continue interview prep,Track
124,Male,20,BE,Information Technology,8.43,2,1,3,2,4,1,Yes,Yes,Placed,9.08,Cognizant,1,1,2022,6,74.3,7.772,35.4,Medium,0,Strengthen projects and communication,Monitor
125,Male,21,BE,Computer Science,6.29,1,1,0,8,7,5,Yes,No,Placed,10.4,Capgemini,1,0,2023,15,57.9,10.516,0.0,Low,0,Maintain momentum and continue interview prep,Track
126,Female,21,BE,Computer Science,7.14,3,3,5,2,10,1,Yes,Yes,Placed,9.71,Capgemini,1,1,2019,12,56.39999999999999,13.656,17.2,Low,0,Maintain momentum and continue interview prep,Track
127,Female,22,BE,Computer Science,7.12,0,1,5,1,5,0,Yes,Yes,Placed,7.02,TCS,1,1,2020,6,71.2,7.248000000000001,20.3,Low,1,Maintain momentum and continue interview prep,Track
128,Male,24,BCA,Mechanical Engineering,6.52,3,3,2,4,6,4,Yes,Yes,Placed,10.45,Capgemini,1,1,2021,10,50.19999999999999,12.608,18.9,Low,0,Maintain momentum and continue interview prep,Track
129,Female,21,BSc,Data Science,9.27,1,0,5,7,7,3,No,Yes,Placed,12.39,Meta,0,1,2022,14,87.69999999999999,9.308,0.0,Low,0,Maintain momentum and continue interview prep,Track
130,Female,20,BCA,Information Technology,8.42,3,0,3,2,6,0,No,Yes,Placed,6.41,Tech Mahindra,0,1,2023,8,69.2,6.5680000000000005,53.5,Medium,0,Strengthen projects and communication,Monitor
131,Female,23,BSc,Electrical Engineering,6.7,1,0,1,3,4,2,No,Yes,Placed,6.62,Tech Mahindra,0,1,2019,7,62.0,5.48,37.8,Medium,0,Strengthen projects and communication,Monitor
132,Male,21,BE,Computer Science,6.54,2,3,0,6,7,5,Yes,No,Placed,11.65,Infosys,1,0,2020,13,55.400000000000006,13.816,0.0,Low,0,Maintain momentum and continue interview prep,Track
133,Male,24,BSc,Data Science,5.58,3,0,3,2,5,0,No,Yes,Not Placed,0.0,Unplaced,0,1,2021,7,40.8,5.032,73.5,High,0,Improve aptitude; complete one internship; increase DSA score,Immediate
134,Male,22,BTech,Data Science,6.99,0,2,0,9,7,3,Yes,No,Placed,11.91,Cognizant,1,0,2022,16,69.9,13.196000000000002,0.0,Low,1,Maintain momentum and continue interview prep,Track
135,Male,20,BSc,Data Science,7.77,0,3,4,6,5,1,Yes,Yes,Placed,11.89,Cognizant,1,1,2023,11,77.69999999999999,13.508000000000001,0.0,Low,1,Maintain momentum and continue interview prep,Track
